siteid,sitename,LandUnitDetail,latitudedd,longitudedd,ElevationMeters,PrimaryType,SecondaryType,surveyid,surveydate,surveyors,surveyprotocol,ExtentOfData,seapscore_id,AQ_dewatered,AQ_function,AQ_functionRisk,AQ_discharge,AQ_dischargeRisk,AQ_naturalness,AQ_naturalnessRisk,AQ_persistence,AQ_persistenceRisk,AQ_waterQuality,AQ_waterQualityRisk,AQ_algalPeriphyton,AQ_algalPeriphytonRisk,AQ_aquiferScore,AQ_aquiferRiskScore,GEO_obliterated,GEO_geomorphicFunction,GEO_geomorphicFunctionRisk,GEO_runoutChannel,GEO_runoutChannelRisk,GEO_soilIntegrity,GEO_soilIntegrityRisk,GEO_geomorphicDiversity,GEO_geomorphicDiversityRisk,GEO_naturalDisturbance,GEO_naturalDisturbanceRisk,GEO_geomorphicScore,GEO_geomorphicRiskScore,HAB_isolation,HAB_isolationRisk,HAB_size,HAB_sizeRisk,HAB_quality,HAB_qualityRisk,HAB_nativePlantRole,HAB_nativePlantRoleRisk,HAB_trophicDynamics,HAB_trophicDynamicsRisk,HAB_habitatScore,HAB_habitatRiskScore,BIO_nativePlantRichness,BIO_nativePlantRichnessRisk,BIO_nativeFaunaDiversity,BIO_nativeFaunaDiversityRisk,BIO_sensitivePlantRichness,BIO_sensitivePlantRichnessRisk,BIO_sensitiveFaunaRichness,BIO_sensitiveFaunaRichnessRisk,BIO_nonnativePlantRarity,BIO_nonnativePlantRarityRisk,BIO_nonnativeFaunaRarity,BIO_nonnativeFaunaRarityRisk,BIO_nativePlantDemography,BIO_nativePlantDemographyRisk,BIO_nativeFaunaDemography,BIO_nativeFaunaDemographyRisk,BIO_biotaScore,BIO_biotaRiskScore,FHI_surfaceWQ,FHI_surfaceWQrisk,FHI_flowRegulation,FHI_flowRegulationRisk,FHI_roadTrailRail,FHI_roadTrailRailRisk,FHI_fencing,FHI_fencingRisk,FHI_construction,FHI_constructionRisk,FHI_herbivory,FHI_herbivoryRisk,FHI_recreation,FHI_recreationRisk,FHI_adjacentLand,FHI_adjacentLandRisk,FHI_fireInfluence,FHI_fireInfluenceRisk,FHI_humanImpactScore,FHI_humanImpactRiskScore,AC_informationQuality,AC_informationQualityRisk,AC_culturalSignificance,AC_culturalSignificanceRisk,AC_historicalSignificance,AC_historicalSignificanceRisk,AC_recreationSignificance,AC_recreationSignificanceRisk,AC_economicValue,AC_economicValueRisk,AC_mgmtPlan,AC_mgmtPlanRisk,AC_sciEducValue,AC_sciEducValueRisk,AC_envirCompliance,AC_envirComplianceRisk,AC_legalStatus,AC_legalStatusRisk,AC_adminContextScore,AC_adminContextRiskScore,meanConditionScore,meanConditionRiskScore,nullConditionScores,nullRiskScores,managementRecommendations
368,Watts Spring,"Kaibab NF, North Kaibab RD",36.37939,-112.27579,2442,hillslope,,-1761027419,7/29/2010,"C. Albano, G. Rink, B. Phillips, and K. Willard",Stevens/NPS 2000,8,187,0,6,2,2,2,5,2,3,2,5,2,4,2,4.16667,2,0,3,3,4,3,3,3,3,3,3,3,3.2,3,4,3,3,3,2,3,2,4,3,3,2.8,3.2,4,3,3,3,3,3,3,3,2,4,5,3,3,3,5,3,3.5,3.125,4,2,2,4,4,2,6,2,6,1,5,3,5,2,2,4,4,3,4,2.875,3,3,6,,2,3,2,1,1,2,4,2,2,1,4,2,6,1,3.33333,1.875,3.41667,2.83125,0,1,"Restoration of the hillslope seepage could enhance the native vegetation habitat. If undertaken, the spring source should be fenced, but outflow provided for wildlife water. Occasional monitoring is warranted."
604,Table Rock Spring,"Kaibab NF, North Kaibab RD",36.71172,-112.46383,1613,hanging garden,,1305733932,5/16/2011,"L.E. Stevens, Jeri Ledbetter, Melissa Schaar, Glenn Rink, and Megan Souter",Stevens et al. Level 2,9,207,0,5,1,1,1,6,1,4,1,6,0,4,3,4.33333,1.16667,0,3,4,2,5,1,5,3,5,2,5,2.2,4.8,5,4,3,5,3,5,3,4,4,4,3.6,4.4,4,4,4,3,4,2,4,3,2,4,5,2,3,4,4,3,3.75,3.125,4,4,2,5,4,4,6,0,3,4,3,4,5,1,4,2,4,2,3.44444,3.25,3,3,6,,4,3,4,2,2,2,5,3,3,1,3,2,6,1,4,2.125,3.47083,3.37292,0,1,"If site history is not deemed important, substantial geomorphic restoration is possible at this spring; however, there will be no benefit to wildlife from doing so."
605,Wildband Spring,"Kaibab NF, North Kaibab RD",36.71689,-112.51032,1545,hillslope,hanging garden,1305841225,5/18/2011,"L.E. Stevens, Glenn Rink, Melissa Schaar, Doug Miller, and Jeri Ledbetter",Stevens et al. Level 2,9,208,0,6,1,1,1,5,1,4,1,6,0,6,1,4.66667,0.83333,0,5,1,6,0,4,2,4,2,4,2,4.6,1.4,4,2,4,3,5,2,5,2,4,3,4.6,2.4,5,2,5,2,5,2,4,3,5,3,5,1,5,2,4,3,4.75,2.25,6,0,4,2,4,3,4,2,5,2,5,1,6,0,5,1,5,2,4.33333,1.625,3,3,6,,4,3,3,2,2,2,5,2,3,1,3,2,6,1,3.88889,2,4.65417,1.72083,0,1,"If this site were to be monitored or rehabilitated, constructing a trail would help protect it. We suggest determining if maintenance of the trough in the valley downslope is necessary."
703,Little Spring,"Kaibab NF, North Kaibab RD",36.62953,-112.58575,1455,rheocrene,,42589885,5/17/2011,"L.E. Stevens, Jeri Ledbetter, Melissa Schaar, Glenn Rink, and Megan Souter",Stevens et al. Level 2,9,209,0,6,1,2,1,6,1,4,1,6,0,6,1,5,0.83333,0,6,2,6,1,5,1,2,1,5,2,4.8,1.4,3,2,3,1,5,2,6,1,4,3,4.2,1.8,5,2,4,3,5,2,5,2,2,2,5,2,5,2,4,3,4.375,2.25,6,1,6,1,5,2,5,1,6,1,6,1,5,1,4,3,5,2,4.88889,1.625,3,3,6,,3,3,3,2,3,2,5,2,3,2,3,2,6,1,3.88889,2.125,4.59375,1.57083,0,1,No action is needed. Occasional monitoring is warranted.
704,Boulder Spring,"Kaibab NF, North Kaibab RD",36.63126,-112.58782,1390,rheocrene,,244970810,5/17/2011,"L.E. Stevens, Jeri Ledbetter, Melissa Schaar, Glenn Rink, and Megan Souter",Stevens/GDE hybrid,9,210,0,6,1,3,1,6,1,5,1,6,1,6,0,5.33333,0.83333,0,6,0,6,0,4,2,2,1,5,1,4.6,0.8,2,1,2,1,4,2,3,3,5,2,3.2,1.8,4,3,4,3,5,2,4,3,2,3,5,1,4,3,4,3,4,2.625,6,0,6,0,5,1,6,0,6,0,5,1,5,1,3,4,5,3,4.88889,1.25,1,2,6,,1,1,1,1,1,2,5,2,3,1,2,4,4,2,2.66667,1.875,4.28333,1.51458,0,1,"This site is in relatively natural condition; however, as a rheocrene it is subject to considerable natural flooding disturbance. While not requiring any immediate management action, it may be useful as a rheocrene reference site; occasional (3-5 yr) monitoring may be useful for tracking changes."
705,Little Willow Unnamed Seep,"Kaibab NF, North Kaibab RD",36.63229,-112.58718,1415,rheocrene,,-1881000141,5/17/2011,"L.E. Stevens, Jeri Ledbetter, and Melissa Schaar",Stevens et al. Level 2,8,211,0,6,1,1,1,6,1,3,1,6,0,6,0,4.66667,0.66667,0,6,0,6,0,5,1,2,1,6,0,5,0.4,2,0,3,0,6,0,5,2,4,3,4,1,5,2,4,3,5,1,4,3,5,2,5,1,5,1,4,3,4.625,2,5,1,6,0,6,1,6,0,6,0,5,1,6,1,3,4,4,2,4.88889,1.25,2,4,6,,3,3,1,1,2,1,5,1,2,1,4,1,5,1,3.33333,1.625,4.57292,1.01667,0,1,"No actions are needed at this time, but occasional monitoring is warranted."
603,Pigeon Spring,"Kaibab NF, North Kaibab RD",36.72411,-112.5094,1506,hanging garden,,1906284758,5/18/2011,"L.E. Stevens, Jeri Ledbetter, Doug Miller, M. Schaar, and Glenn Rink",Stevens et al. Level 2,9,212,0,6,1,1,4,6,1,4,2,6,1,4,3,4.5,2,0,5,2,4,3,2,4,3,3,3,4,3.2,3.2,4,3,3,3,4,3,4,4,4,3,3.6,3.2,4,3,4,3,3,3,4,3,3,4,4,3,4,3,4,3,3.75,3.125,5,2,3,4,3,3,4,3,2,4,3,5,5,1,2,5,4,4,3.22222,3.875,3,3,6,,4,3,4,4,3,2,5,3,2,2,2,3,6,1,3.88889,2.625,3.7625,2.88125,0,1,"Remove all piping, troughs, fencing, etc. Consider providing some open water for wildlife. Occasional monitoring is warranted, particularly if regional uranium mining or water extraction occurs. Fire danger is high due to extensive bromus cover, but resolution of this problem remains difficult. "
778,Solidago Spring,"Kaibab NF, North Kaibab RD",36.54127,-112.47433,1765,hanging garden,,1306171535,5/20/2011,"L.E. Stevens, Glenn Rink, and Melissa Schaar",Stevens et al. Level 2,9,213,0,6,1,1,2,6,1,3,1,6,1,6,1,4.66667,1.16667,0,6,1,6,1,6,1,3,1,5,1,5.2,1,3,1,3,1,6,1,4,2,5,2,4.2,1.4,6,1,5,1,5,1,4,1,4,2,6,1,5,1,6,1,5.125,1.125,6,1,6,1,6,1,6,1,6,1,6,1,6,1,4,3,5,2,5.22222,1.5,1,2,6,,1,1,1,1,1,2,5,2,3,1,2,4,4,2,2.66667,1.875,4.79792,1.17292,0,1,"This remote site is an excellent example of a pristine south-facing hanging garden. If it is monitored or used as a reference site, access should be stabilized with a stepping stone trail to prevent erosion. "
820,Pasque Spring,"Kaibab NF, North Kaibab RD",36.54076,-112.4766,1765,hanging garden,,-1388491996,5/20/2011,"L.E. Stevens, G. Rink, Melissa Schaar, J.D. Ledbetter, and Megan Souter",Stevens et al. Level 2,9,214,0,6,1,1,1,6,1,3,1,6,1,6,1,4.66667,1,0,6,1,6,1,6,1,2,1,6,1,5.2,1,3,1,3,1,6,1,5,1,5,2,4.4,1.2,5,1,5,1,5,1,4,1,5,1,6,1,6,1,6,1,5.25,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,4,3,5,2,5.22222,1.5,1,2,6,,1,1,1,1,1,2,5,2,3,1,2,4,4,2,2.66667,1.875,4.87917,1.05,0,1,"This remote site is an excellent example of a pristine south-facing hanging garden. If it is monitored or used as a reference site, access should be stabilized with a stepping stone trail to prevent erosion. "
826,Phragmites Unnamed Spring,"Kaibab NF, North Kaibab RD",36.63205,-112.58805,1396,hypocrene,,1306175483,5/17/2011,"Larry Stevens, Glenn Rink, and Megan Souter",Stevens et al. Level 2,6,215,0,5,1,0,1,5,1,3,1,0,1,6,1,3.16667,1,0,6,3,6,3,4,2,0,2,5,1,4.2,2.2,2,2,3,2,5,2,5,2,4,2,3.8,2,6,2,4,2,6,1,4,2,5,3,4,2,5,2,4,2,4.75,2,0,1,6,1,5,2,5,1,6,1,5,2,5,1,3,4,4,3,4,2,1,2,6,,1,1,1,1,1,2,5,2,3,1,2,4,4,2,2.66667,1.875,3.97917,1.8,0,1,"This site needs no management attention, but is interesting as an example of a hypocrene spring."
464,Slide Spring,"Kaibab NF, North Kaibab RD",36.65794,-112.56237,1490,rheocrene,,-1643174473,5/19/2011,"Glenn Rink, Jeri Ledbetter, Melissa Schaar, and Doug Miller",Stevens et al. Level 2,9,216,0,5,1,3,5,5,1,5,1,4,2,5,1,4.5,1.83333,0,5,1,5,1,5,1,2,1,6,1,4.6,1,3,1,3,1,5,1,5,1,4,2,4,1.2,5,2,4,2,4,2,4,3,3,2,5,1,4,2,4,3,4.125,2.125,5,1,3,5,4,2,3,3,6,0,5,1,4,2,5,1,4,3,3.77778,2.25,2,3,6,,4,3,3,2,2,2,5,2,3,2,3,3,6,1,3.77778,2.25,4.30625,1.53958,0,1,
640,Willow Spring,"Kaibab NF, Williams RD",35.13389,-112.02822,1980,rheocrene,limnocrene,1314901810,8/29/2011,Larry Stevens and Jeri Ledbetter,Stevens et al. Level 2,7,222,0,5,3,1,3,5,3,5,3,5,3,5,3,4.33333,3,0,5,2,5,2,5,1,4,1,5,1,4.8,1.4,5,1,3,1,5,1,4,2,4,3,4.2,1.6,5,3,4,4,2,3,4,4,3,4,3,4,3,4,3,4,3.375,3.75,5,1,6,1,5,2,5,1,6,1,5,1,5,1,4,2,4,3,4.55556,1.625,3,1,5,,4,4,5,2,3,2,3,1,3,1,5,1,6,1,4.11111,1.625,4.17708,2.4375,0,1,"This site needs no immediate attention, but occasional monitoring, particularly late in the summer during dry years, would help determine groundwater influence."
632,Nail Spring,"Kaibab NF, North Kaibab RD",36.62522,-112.34576,2163,hanging garden,,-1166825104,6/27/2011,"Glenn Rink, Jeri Ledbetter, Frank Romiglia, Lisa Schaller and Victoria Hermosillo",Stevens et al. Level 2,8,223,0,5,2,1,2,2,3,3,2,5,1,5,1,3.5,1.83333,0,3,4,3,4,3,3,2,3,5,1,3.2,3,3,3,2,3,2,5,2,5,3,3,2.4,3.8,2,2,3,3,1,5,3,3,3,3,5,1,3,3,4,2,3,2.75,5,1,3,3,5,1,5,1,5,1,5,1,5,1,4,2,5,2,4.22222,1.625,4,2,6,,4,2,1,1,4,2,5,3,4,2,5,2,6,1,4.33333,1.875,3.025,2.84583,0,1,"The site may have some historical interest, but if not, the scaffolding and other human alterations could be removed and the site restored. Occasional monitoring is warranted. Open water for wildlife may be of value."
582,Lower McDermit Spring,"Kaibab NF, Williams RD",35.25786,-111.91766,2165,helocrene,anthropogenic,865369475,8/30/2011,Larry Stevens and Jeri Ledbetter,Stevens et al. Level 2,9,229,0,2,5,1,5,1,5,1,5,1,5,1,5,1.16667,5,0,1,5,1,5,2,4,2,4,1,5,1.4,4.6,4,5,4,5,2,4,2,4,3,3,3.2,4.2,3,4,3,4,1,5,3,4,2,4,4,4,3,4,4,3,2.875,4,2,4,1,4,3,4,3,3,4,3,4,3,5,1,3,4,3,3,2.77778,3.625,3,3,5,,3,4,3,1,3,2,5,3,1,1,5,1,5,3,3.66667,2.25,2.16042,4.45,0,1,This is a low management priority site as there is no surface water. 
752,Isham Spring,"Kaibab NF, Williams RD",35.19982,-112.04007,2072,helocrene,,-1592898711,8/29/2011,Larry Stevens and Jeri Ledbetter,Stevens et al. Level 2,8,231,0,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0,1,5,1,5,3,3,0,6,3,3,1.6,4.4,5,5,3,5,1,5,1,5,3,3,2.2,4.6,5,3,4,4,2,5,3,5,4,3,4,4,3,4,4,4,3.625,4,0,6,0,6,5,1,4,2,6,0,3,3,5,1,5,1,4,3,3,2.875,3,3,5,,3,4,3,2,2,3,5,2,2,1,5,1,5,2,3.66667,2.25,1.85625,4.75,0,1,"This is a low proprity management site. With no or rare flow, this spring has become dominated by upland vegetation. "
833,Stonefly Springs,"Kaibab NF, North Kaibab RD",36.4085,-112.08466,2399,rheocrene,,-141083453,6/26/2011,"Larry Stevens, Frank Romaglio, Lisa Schaller, and Victoria Hermosilla",Stevens et al. Level 2,9,241,0,6,1,1,1,6,1,4,1,6,1,6,1,4.83333,1,0,6,1,6,1,6,1,3,1,6,1,5.4,1,3,2,2,1,6,1,5,1,4,2,4,1.4,6,1,5,2,5,1,5,3,6,2,5,1,6,1,4,3,5.25,1.75,6,1,6,0,5,2,6,0,6,0,6,1,6,0,5,2,4,3,5,1.125,1,2,6,,1,1,6,1,1,2,5,2,3,1,2,4,4,2,3.22222,1.875,4.87083,1.2875,0,1,"This spring may have value as a reference site, as it is apparently pristine."
322,Bear Lake,"Kaibab NF, North Kaibab RD",36.37138,-112.14729,2775,limnocrene,,1292614369,8/1/2010,"T McCall, G Rink, C Albano, and K Willard",Stevens/NPS 2000,9,248,0,5,2,9,2,6,2,5,2,1,2,4,2,4.2,2,0,6,2,9,2,5,2,4,3,4,2,4.75,2.2,4,2,3,2,5,2,4,2,4,3,4.2,2.2,5,2,4,3,4,2,4,1,4,2,3,4,5,2,4,3,4.125,2.375,5,3,6,2,4,2,6,2,6,2,4,2,4,2,4,2,4,3,4.33333,2.5,4,2,6,,2,3,3,1,2,2,4,4,4,3,5,3,6,1,4,2.375,4.31875,2.19375,2,1,"We recommend fencing out or remove bison to protect this omnotrophic big lake, which may have groundwater flow. We would also recommend occasional monitoring."
633,Mangum Springs,"Kaibab NF, North Kaibab RD",36.62319,-112.34262,2225,gushet,,-959438265,6/27/2011,"Larry Stevens, David Kreamer, and Andrea Hazelton",Stevens et al. Level 2,8,259,0,6,1,1,2,5,1,4,1,6,1,5,1,4.5,1.16667,0,3,4,3,4,2,4,3,4,4,3,3,3.8,2,5,2,4,3,4,5,3,4,4,3.2,4,3,4,4,2,3,4,4,4,6,1,5,1,2,4,4,3,3.875,2.875,5,1,2,4,4,1,5,1,5,1,5,1,5,1,5,2,5,3,4,1.875,4,2,6,,3,2,1,1,4,2,5,3,4,2,5,2,6,1,4.22222,1.875,3.64375,2.96042,0,1,"If the piping is no longer needed, the site could relatively easily be restored; howver, if water capture is still desired by management, a trail of stepping stones to the source would help reduce site erosion. Occasional monitoring is recommended."
