"","siteid","sitename","LandUnitDetail","latitudedd","longitudedd","ElevationMeters","PrimaryType","SecondaryType","surveyid","surveydate","surveyors","surveyprotocol","ExtentOfData","seapscore_id","HAB_quality","FHI_herbivory","FHI_recreation","AC_culturalSignificance","FHI_flowRegulation","AQ_persistence","FHI_humanImpactRiskScore","meanConditionScore"
"24",998,"Hoxworth Springs South","Coconino NF, Mormon Lake RD",35.03894,-111.57649,2144,"rheocrene",NA,-899944747,"8/12/2012","Kyle Paffett, Vera Markgraf, and Quintin Van Dyke","Stevens et al. Level 2",5,762,5,4,5,6,6,4,2.28571,4.16458
"25",1004,"Jones Springs","Coconino NF, Mogollon Rim RD",34.76321,-111.49854,2153,"hillslope","helocrene",1996249458,"6/19/2012","Kyle Paffett and Jen Williams","Stevens et al. Level 2",6,763,5,4,5,6,5,4,2.42857,4.26458
"26",949,"Deer Seep Tank","Coconino NF, Mogollon Rim RD",34.82549,-111.37971,2277,"limnocrene",NA,-404331280,"6/12/2012","Kyle Paffett and Vera Markgraf","Stevens et al. Level 2",5,765,5,4,4,6,2,4,2.28571,3.65208
"27",1113,"T-Six Spring","Coconino NF, Mormon Lake RD",34.90741,-111.59618,2092,"helocrene","hillslope",1311727153,"6/22/2012","Kyle Paffett, Jen Williams, and Vera Markgraf","Stevens et al. Level 2",4,766,4,4,4,6,4,4,2.85714,4.1
"28",1036,"Middle Kehl Meadow Spring","Coconino NF, Mogollon Rim RD",34.44493,-111.31868,2311,"helocrene","rheocrene",-1540123490,"8/9/2012","Kyle Paffett and Vera Markgraf","Stevens et al. Level 2",6,767,5,4,3,6,6,4,2.71429,4.22083
"29",1032,"McFarland Spring","Coconino NF, Mogollon Rim RD",34.47702,-111.19601,2235,"hillslope","rheocrene",-126597036,"8/8/2012","Kyle Paffett and Vera Markgraf","Stevens et al. Level 2",5,776,5,4,5,6,6,4,2,4.26875
"30",993,"Houston Draw Spring","Coconino NF, Mogollon Rim RD",34.46801,-111.19666,2264,"hillslope","helocrene",-1771295035,"8/8/2012","Kyle Paffett, Vera Markgraf, and Gerald Higa","Stevens et al. Level 2",5,777,5,4,5,6,6,4,2,4.21875
"31",770,"Spitz Spring Lower","Kaibab NF, Williams RD",35.26033,-111.9751,2136,"helocrene","anthropogenic",1281092075,"6/2/2012","Kyle Paffett and Vera Markgraf","Stevens et al. Level 2",5,786,4,3,4,6,3,5,2.14286,3.33542
"32",771,"Spitz Spring upper","Kaibab NF, Williams RD",35.26135,-111.97436,2130,"anthropogenic",NA,605110352,"6/2/2012","Kyle Paffett and Vera Markgraf","Stevens et al. Level 2",5,787,4,3,4,6,3,5,2.14286,3.33542
"33",330,"Crane Lake","Kaibab NF, North Kaibab RD",36.52992,-112.14908,2605,"limnocrene",NA,550526073,"6/16/2012","Kyle Paffett","Stevens et al. Level 2",6,802,4,3,4,6,6,2,2.71429,3.6
"34",966,"Fleishman Spring","Coconino NF, Mogollon Rim RD",34.47323,-111.17977,2234,"hillslope","hanging garden",-1011026130,"6/26/2013","Kyle Paffett, Spencer Harris, Tom Bean, Krista Sparks, and Vera Markgraf (Vegetation survey 7/11/2013)","Stevens et al. Level 2",6,858,4,4,4,6,6,4,2.42857,3.5375
"35",1014,"Leopard Frog Spring","Coconino NF, Mogollon Rim RD",34.45205,-111.15308,2273,"hillslope",NA,608820203,"6/4/2013","Kyle Paffett, Krista Sparks, and Spencer Harris","Stevens et al. Level 2",6,860,4,4,4,6,5,4,2.85714,3.59167
"36",963,"Fain Spring","Coconino NF, Mormon Lake RD",34.81879,-111.52392,2159,"helocrene",NA,1374079523,"6/21/2012","Kyle Paffett, Vera Markgraf, and Quintin Van Dyke","Stevens et al. Level 2",6,878,4,6,5,6,4,4,2.28571,3.95417
"37",576,"Black Bear Spring","Coconino NF, Mogollon Rim RD",34.44736,-111.16426,2278,"hillslope","helocrene",-655558104,"6/19/2013","Kyle Paffett, Krista Sparks, Spencer Harris, Vera Markgraf, and Tom Runyon","Stevens et al. Level 2",7,879,5,3,6,6,4,4,2,3.78958
"38",894,"Babes Hole Spring","Coconino NF, Peaks RD",35.0727,-111.93971,1807,"rheocrene",NA,-661032693,"8/8/2013","Krista Sparks and Spencer Harris","Stevens et al. Level 2",5,925,5,4,4,6,3,4,2.14286,3.79375
"39",979,"Geronimo Spring","Coconino NF, Peaks RD",35.07751,-111.94701,1628,"hillslope","rheocrene",673286705,"8/8/2013","Krista Sparks and Spencer Harris","Stevens et al. Level 2",5,927,4,4,4,6,4,4,2,3.84375
"40",583,"Mangum 4 Springs","Kaibab NF, North Kaibab RD",36.62289,-112.34109,2183,"gushet",NA,-1429977267,"8/4/2013","Krista Sparks, Kyle Paffett, and Spencer Harris","Stevens et al. Level 2",5,931,5,4,6,6,4,4,2.42857,3.91458
"41",271,"Big Spring","Kaibab NF, North Kaibab RD",36.60225,-112.3489,2150,"hanging garden","anthropogenic",1381341749,"8/30/2013","Glenn Rink, Jeri Ledbetter, Larry Stevens, and Marguerite Hendrie","Stevens et al. Level 2",9,970,5,2,5,6,3,4,2.875,4.30769
"42",787,"Lower Jumpup Spring below","Kaibab NF, North Kaibab RD",36.53059,-112.58656,1195,"limnocrene","rheocrene",1065999650,"10/5/2013","Krista Sparks, Spencer Harris, Graham Schindel, and Vaden Aldridge","Stevens et al. Level 2",4,973,4,5,5,6,6,4,2.14286,3.09375
"43",794,"Kwagunt Hollow Zen Spring","Kaibab NF, North Kaibab RD",36.50922,-112.575,1128,"hanging garden","rheocrene",644377339,"10/4/2013","Krista Sparks, Spencer Harris, Graham Schindel, Vaden Aldridge","Stevens et al. Level 2",4,974,6,5,5,6,6,4,2,4.41875
"44",798,"Cottonwood Cienega","Kaibab NF, North Kaibab RD",36.52286,-112.53591,1346,"helocrene","rheocrene",-1847405151,"10/5/2013","Krista Sparks, Spencer Harris, Graham Schindel, Vaden Aldridge","Stevens et al. Level 2",4,976,6,5,5,6,6,4,2.14286,4.59167
"45",455,"Jumpup Lower Spring","Kaibab NF, North Kaibab RD",36.53189,-112.58763,1212,"rheocrene",NA,1947087694,"10/5/2013","Krista Sparks, Spencer Harris, Graham Schindel, Vaden Aldridge","Stevens et al. Level 2",4,977,4,5,5,6,6,4,2.14286,3.86875
"46",665,"Cottonwood Spring Lower Spring","Kaibab NF, North Kaibab RD",36.521,-112.53052,1403,"rheocrene",NA,-166258505,"10/5/2013","Krista Sparks, Spencer Harris, Graham Schindel, Vaden Aldridge","Stevens et al. Level 2",4,978,6,5,5,6,6,4,2.14286,4.50833
"47",818,"Lower Forgotten Canyon Spring","Kaibab NF, North Kaibab RD",36.49048,-112.57429,1187,"hanging garden","rheocrene",-586956244,"10/4/2013","Krista Sparks, Spencer Harris, Graham Schindel, and Vaden Aldridge","Stevens et al. Level 2",4,979,6,5,5,6,6,4,2.14286,4.19583
"48",1099,"Sycamore Canyon fork Unnamed","Coconino NF, Red Rock RD",34.45863,-111.71901,1095,"rheocrene",NA,-1277110375,"9/6/2013","Krista Sparks and Graham Schindel","Stevens et al. Level 2",5,984,5,5,4,6,6,4,2.14286,3.63958
"49",896,"Banfield Spring","Coconino NF, Mogollon Rim RD",34.65101,-111.45337,2070,"helocrene",NA,981141611,"7/10/2013","Kyle Paffett, Krista Sparks, Spencer Harris, and Vera Markgraf","Stevens et al. Level 2",6,990,4,3,6,6,2,4,2.85714,3.4
"50",147,"Summer Spring","Coconino NF, Red Rock RD",34.88062,-112.06635,1099,"hillslope",NA,-1551102082,"7/26/2013","Kyle Paffett, Krista Sparks, and Vera Markgraf","Stevens et al. Level 2",5,993,5,5,3,6,6,4,2.42857,3.78125
"51",429,"Hi Fuller Spring","Coconino NF, Mogollon Rim RD",34.47114,-111.26112,2216,"helocrene",NA,1373916431,"7/12/2013","Krista Sparks, Kyle Paffett, Vera Markgraf, and Abe Springer","Stevens et al. Level 2",7,877,5,4,4,6,2,4,2.71429,3.96042
"52",673,"Lookout Lakes","Kaibab NF, North Kaibab RD",36.46513,-112.18661,2668,"limnocrene",NA,-534504279,"6/25/2011","Larry Stevens, Glenn Rink, Jeri Ledbetter, Frank Romaglia, Lisa Schaller, Victoria Hermosillo, and Andrea Hazelton","Stevens et al. Level 2",10,227,4,3,3,6,6,NA,2.5,4.41458
"53",717,"Aconitum unnamed springs","Kaibab NF, North Kaibab RD",36.39966,-112.08085,2359,"hillslope",NA,1340219602,"6/17/2012","Larry Stevens, Jeri Ledbetter, Glenn Rink, Kyle Paffett, Anya Fayfer, and Kumi Isobe.","Stevens et al. Level 2",9,396,6,6,5,6,6,4,2,4.85
"54",660,"Unnamed Spring 8","Kaibab NF, North Kaibab RD",36.54585,-112.51803,1410,"hanging garden",NA,-868991875,"5/19/2009","D. Burger, C Albano, and K. Watters","Stevens/NPS 2000",8,141,6,6,5,6,6,3,2,4.92222
"55",427,"Hidden Spring","Coconino NF, Mogollon Rim RD",34.43917,-111.18326,2309,"hillslope","rheocrene",-910058349,"10/10/2009","Larry Stevens, Jeri Ledbetter, Phoebe Stevens, Rosemary, FALA students","Stevens et al. Level 2",10,79,4,3,5,6,5,NA,2,4.02917
"56",1019,"Little Elden Spring","Coconino NF, Peaks RD",35.27691,-111.57934,2190,"hillslope","limnocrene",2146244287,"5/19/2016","SSI Staff and Workshop Participants","Stevens et al. Level 1",8,1450,4,5,4,6,4,4,2.4,4.2
"57",424,"Morningcloak Springs","Coconino NF, Mogollon Rim RD",34.43431,-111.16117,2314,"hillslope",NA,-1954228068,"9/20/2009","Jeri Ledbetter, Eric North, RJ Johnson, Denise Hudson","Stevens et al. Level 2",10,76,5,3,5,6,5,NA,2,3.88981
"58",437,"Coyote Spring","Coconino NF, Mogollon Rim RD",34.44445,-111.15651,2283,"helocrene","hillslope",1258690002,"9/19/2009","Jeri Ledbetter, Eric North, RJ Johnson, Valerie Hallam, Denise Hudson, and Karissa Davis","Stevens et al. Level 2",9,77,4,3,3,6,3,NA,2.5,3.86759
"59",439,"Royal Bull Springs","Coconino NF, Mogollon Rim RD",34.43286,-111.16082,2312,"hillslope",NA,1261928167,"9/20/2009","Jeri Ledbetter, Eric North, RJ Johnson, Denise Hudson","Stevens et al. Level 2",10,75,4,3,5,6,5,NA,2.14286,4.00053
"60",432,"Lockwood Spring","Coconino NF, Mogollon Rim RD",34.54811,-111.1417,2098,"exposure",NA,1262010058,"9/18/2009","Jeri Ledbetter, Eric North, RJ Johnson, Valerie Hallam, Denise Hudson, Julaire Scott, Karissa Davis","Stevens et al. Level 2",9,78,5,5,5,6,6,NA,2,4.59021
"61",312,"Quaking Aspen Spring","Kaibab NF, North Kaibab RD",36.37823,-112.28261,2398,"hillslope",NA,1298504657,"7/28/2010","G. Rink, Albano, Phillips, and Willard","Stevens/NPS 2000",8,157,4,3,4,6,5,3,2.71429,3.7422
"62",393,"West Moonshine Spring","Coconino NF, Mogollon Rim RD",34.48278,-111.14449,2239,"hillslope","rheocrene",-1689402876,"9/19/2009","RJ Johnson, Eric North, Jeri Ledbetter, Valerie Hallam, Denise Hudson, Karissa Ramstead","Stevens et al. Level 2",9,81,4,5,4,6,5,1,2.28571,3.5619
"63",226457,"Homestead Channel Springs","Coconino NF, Mogollon Rim RD",34.4704,-111.28585,2196,"rheocrene",NA,2146245804,"6/24/2017","Jeri Ledbetter, Gloria Hardwick, Glenn Rink, and Melissa Carrillo-Galaviz","Stevens et al. Level 2",10,1779,5,4,5,NA,5,5,2.3,4.5
"64",766,"Many Snakes Spring","Kaibab NF, Williams RD",35.10909,-112.23399,1990,"limnocrene","rheocrene",-751493278,"8/16/2013","Jeri Ledbetter, Glenn Rink, Marguerite Hendrie, and Bill Beaver","Stevens/GDE hybrid",8,952,6,6,6,NA,6,5,2.1,5
"65",19246,"Cane Hanging Garden","Kaibab NF, North Kaibab RD",36.58374,-112.04679,1900,"hanging garden",NA,975429660,"8/28/2013","Larry Stevens, Jeri Ledbetter, Glenn Rink, and Marguerite Hendrie","Stevens et al. Level 2",10,965,5,5,5,NA,5,5,2,4.21458
"66",707,"Cane Springs north","Kaibab NF, North Kaibab RD",36.58566,-112.04667,1916,"cave","anthropogenic",-291009299,"8/28/2013","Larry Stevens, and Glenn Rink","Stevens et al. Level 2",10,966,4,5,5,NA,2,5,2.375,4.21875
"67",805,"Babbitt Spring","Coconino NF, Mormon Lake RD",35.06692,-111.53853,2107,"rheocrene","hillslope",2146244609,"9/6/2016","Emily Thompson, Sue Ordway, and Irene Hamilton","Stevens et al. Level 2",9,1524,4,2,3,NA,4,4,3.6,3.2
"68",954,"Double Springs (West)","Coconino NF, Mormon Lake RD",34.94125,-111.49434,2190,"hillslope",NA,2146244620,"9/7/2016","Chantel Cook, Sue Ordway, Emily Thompson, and Irene Hamilton","Stevens et al. Level 2",7,1533,4,4,3,NA,1,4,2.9,3
"69",1146,"Mud Spring","Coconino NF, Mogollon Rim RD",34.46563,-111.31361,2283,"rheocrene","helocrene",2146245686,"6/23/2017","Jeri Ledbetter, Glenn Rink, Gloria Hardwick, and Melissa Carrillo-Galaviz","Stevens et al. Level 2",10,1715,5,4,5,NA,3,5,3.2,4.3
"70",226445,"Stump Glen Spring","Coconino NF, Mogollon Rim RD",34.47242,-111.3275,2185,"rheocrene","helocrene",2146245688,"6/22/2017","Jeri Ledbetter, Glenn Rink, Gloria Hardwick, Joseph Holway and Melissa Carrillo-Galaviz","Stevens et al. Level 2",10,1716,4,4,4,NA,4,5,2.2,4.3
"71",226446,"Overhang Spring","Coconino NF, Mogollon Rim RD",34.46616,-111.3401,2199,"helocrene","rheocrene",2146245689,"6/22/2017","Jeri Ledbetter, Glenn Rink, Joseph Holway, and Melissa Carrillo-Galaviz","Stevens et al. Level 2",10,1718,5,5,4,NA,5,5,2,4.5
"72",226447,"Cienega Draw Springs","Coconino NF, Mogollon Rim RD",34.44928,-111.34695,2222,"rheocrene","anthropogenic",2146245690,"6/25/2017","Jeri Ledbetter, Gloria Hardwick, Glenn Rink, and Melissa Carrillo-Galaviz","Stevens et al. Level 2",10,1719,4,4,5,NA,4,4,2.2,3.9
"73",989,"Homestead Spring","Coconino NF, Mogollon Rim RD",34.47081,-111.28548,2212,"hillslope","rheocrene",2146245693,"6/24/2017","Jeri Ledbetter, Glenn Rink, and Melissa Carrillo-Galaviz","Stevens et al. Level 2",10,1721,5,5,5,NA,5,5,2,4.6
"74",986,"Half Pint Spring","Coconino NF, Mogollon Rim RD",34.46523,-111.32352,2217,"limnocrene","anthropogenic",2146245692,"6/22/2017","Jeri Ledbetter, Glenn Rink, Joseph Holway and Melissa Carrillo-Galaviz","Stevens et al. Level 2",10,1722,4,4,5,NA,2,6,2.6,3.7
"75",226450,"Mashed Potato Spring","Coconino NF, Mogollon Rim RD",34.46203,-111.3523,2207,"helocrene","rheocrene",2146245699,"6/22/2017","Jeri Ledbetter, Glenn Rink, Joseph Holway and Melissa Carrillo-Galaviz","Stevens et al. Level 2",10,1726,4,4,5,NA,4,6,2.2,4.3
"76",1036,"Middle Kehl Meadow Spring","Coconino NF, Mogollon Rim RD",34.44493,-111.31868,2311,"helocrene","rheocrene",2146245700,"6/23/2017","Jeri Ledbetter, Glenn Rink, Gloria Hardwick, and Melissa Carrillo-Galaviz","Stevens et al. Level 2",10,1727,4,3,4,NA,5,5,2.3,3.8
"77",1014,"Leopard Frog Spring","Coconino NF, Mogollon Rim RD",34.45205,-111.15308,2273,"hillslope",NA,2146245736,"7/7/2017","Jeri Ledbetter, Glenn Rink, and Mellisa Yin","Stevens et al. Level 2",10,1733,5,5,5,NA,6,5,2.1,4.6
"78",580,"East Elk Spring","Kaibab NF, Williams RD",35.37604,-111.98617,2239,"helocrene","limnocrene",2146245743,"7/5/2017","Jeri Ledbetter, Glenn Rink, Melissa Carrillo-Galaviz and Mellisa Yin","Stevens et al. Level 2",10,1740,4,4,4,NA,3,4,2.8,4
"79",939,"Cornlily Spring","Coconino NF, Mogollon Rim RD",34.43843,-111.17411,2330,"hillslope","rheocrene",2146245770,"7/21/2017","Jeri Ledbetter, Gloria Hardwick, Melissa Yin, and Joseph Holway","Stevens et al. Level 2",10,1751,5,5,6,NA,4,5,2,4.7
"80",226459,"Dragonfly Tank Springs","Coconino NF, Mogollon Rim RD",34.46489,-111.19431,2286,"anthropogenic","limnocrene",2146245773,"7/20/2017","Larry Stevens, Jeri Ledbetter, Glenn Rink, Melissa Yin, Gloria Hardwick, Bernie Marrieta, and Joseph Holway","Stevens et al. Level 2",10,1754,5,4,5,NA,3,5,2.1,4.2
"81",1062,"PoleyQuiva Spring","Coconino NF, Mogollon Rim RD",34.46855,-111.1826,2303,"hillslope",NA,2146245780,"7/20/2017","Jeri Ledbetter, Glenn Rink, and Mellisa Yin","Stevens et al. Level 2",10,1763,4,4,5,NA,5,5,2.1,4.4
"82",1145,"Maple Spring","Coconino NF, Mogollon Rim RD",34.43988,-111.1723,2334,"hillslope",NA,2146245791,"7/21/2017","Jeri Ledbetter, Gloria Hardwick, Mellisa Yin, and Joseph Holway","Stevens et al. Level 2",10,1770,5,5,5,NA,4,5,2.3,4.3
"83",1124,"Wee Stead Seep","Coconino NF, Mogollon Rim RD",34.41907,-111.18309,2350,"rheocrene","anthropogenic",2146245798,"7/18/2017","Jeri Ledbetter, Glenn Rink, Melissa Yin, Bernie Murrieta, and Leah Ibarra","Stevens et al. Level 2",10,1773,4,4,5,NA,5,4,2,4.1
"84",226652,"Spikerush Spring","Coconino NF, Mogollon Rim RD",34.4236,-111.19143,2321,"hillslope",NA,2146245800,"7/8/2017","Jeri Ledbetter, Larry Stevens, Glenn Rink, and Mellisa Yin","Stevens et al. Level 2",10,1774,4,3,5,NA,4,4,2.8,3.9
"85",1116,"Twin Tanks","Coconino NF, Mogollon Rim RD",34.43588,-111.17643,2347,"hillslope",NA,2146245802,"7/21/2017","Jeri Ledbetter, Gloria Hardwick, Mellisa Yin, and Joseph Holway","Stevens et al. Level 2",10,1777,5,4,5,NA,3,5,2.1,4.5
"86",392,"Dane Spring","Coconino NF, Mogollon Rim RD",34.4671,-111.14948,2178,"hillslope","anthropogenic",2146245944,"8/7/2017","Jeri Ledbetter, Gloria Hardwick, Bernie Murrieta, and Sam Goddard","Stevens et al. Level 2",10,1781,4,4,4,NA,3,6,2.2,4.3
"87",18823,"A-13-11 18C CB","Coconino NF, Mogollon Rim RD",34.50947,-111.23044,2186,"limnocrene","anthropogenic",2146245946,"8/6/2017","Jeri Ledbetter, Gloria Hardwick, Bernie Murrieta, and Sam Goddard","Stevens et al. Level 2",9,1782,4,5,5,NA,4,4,2,4.1
"88",1011,"Lauren Spring","Coconino NF, Mogollon Rim RD",34.49158,-111.27069,2112,"hillslope",NA,2146245951,"8/5/2017","Jeri Ledbetter, Gloria Hardwick, Bernie Murrieta, and Sam Goddard","Stevens et al. Level 2",10,1783,4,5,4,NA,5,6,2.2,4.5
"89",1033,"Meadow Spring","Coconino NF, Mogollon Rim RD",34.42899,-111.15686,2247,"helocrene","hillslope",2146245945,"8/7/2017","Jeri Ledbetter, Gloria Hardwick, Bernie Murrieta, and Sam Goddard","Stevens et al. Level 2",10,1784,4,4,5,NA,6,4,2,4.3
"90",18914,"Potamogeton Tank","Coconino NF, Mogollon Rim RD",34.48878,-111.24472,2223,"limnocrene","anthropogenic",2146245943,"8/6/2017","Jeri Ledbetter, Gloria Hardwick, Bernie Murrieta, and Sam Goddard","Stevens et al. Level 2",9,1785,4,5,5,NA,4,5,2.3,4.2
"91",942,"Crackerbox Spring","Coconino NF, Mogollon Rim RD",34.4996,-111.24458,2176,"hillslope","hanging garden",2146245948,"8/6/2017","Jeri Ledbetter, Gloria Hardwick, Bernie Murrieta, and Sam Goddard","Stevens et al. Level 2",9,1786,5,5,5,NA,4,5,2,4.6
"92",575,"Roaring Spring","Coconino NF, Mogollon Rim RD",34.48504,-111.27915,2173,"hillslope",NA,2146246045,"8/5/2017","Jeri Ledbetter, Gloria Hardwick, Bernie Murrieta, and Sam Goddard","Stevens et al. Level 2",8,1787,5,3,5,NA,4,4,2.2,4.6
"93",226841,"Lydia Tank","Coconino NF, Mogollon Rim RD",34.48398,-111.27022,2156,"limnocrene","anthropogenic",2146245949,"8/5/2017","Jeri Ledbetter, Gloria Hardwick, Bernie Murrieta, and Sam Goddard","Stevens et al. Level 2",9,1797,4,4,5,NA,3,4,2.1,3.6
"94",226448,"East Clear Creek Headwaters Spring","Coconino NF, Mogollon Rim RD",34.46698,-111.33751,2173,"rheocrene",NA,2146245694,"6/25/2017","Jeri Ledbetter, Glenn Rink, Gloria Hardwick, and Melissa Carrillo-Galaviz","Stevens et al. Level 2",10,1800,5,4,5,NA,6,5,2.1,4.4
"95",351,"Parissawampitts Spring","Kaibab NF, North Kaibab RD",36.41313,-112.31666,2366,"rheocrene","helocrene",2146246273,"9/24/2017","Larry Stevens and Jeri Ledbetter","Stevens et al. Level 2",9,1819,4,5,5,NA,3,4,2.2,4.4
