"","siteid","sitename","LandUnitDetail","latitudedd","longitudedd","ElevationMeters","PrimaryType","SecondaryType","surveyid","surveydate","surveyors","surveyprotocol","ExtentOfData","seapscore_id","FHI_flowRegulation","FHI_humanImpactRiskScore","meanConditionScore"
"65",1041,"Mint Upper West Unnamed","Coconino NF, Mormon Lake RD",34.86418,-111.41315,2338,"hillslope",NA,1577872354,"6/11/2012","Kyle Paffett, Tom Bean, and Susan Bean","Stevens et al. Level 2",2,583,4,2.85714,0.6625
"66",1008,"Kendrick Spring","Coconino NF, Peaks RD",35.44391,-111.83994,2319,"rheocrene",NA,-1080294725,"6/10/2012","Kyle Paffett and Quintin Van Dyke","Stevens et al. Level 2",3,584,0,3.42857,0.73125
"67",774,"Beale Spring","Kaibab NF, Williams RD",35.36239,-111.91183,2255,"helocrene","rheocrene",547388640,"6/6/2012","Kyle Paffett, Tom Bean, and Susan Bean","Stevens et al. Level 2",2,585,6,2.42857,0.75
"68",545,"Hunter Springs","Coconino NF, Mogollon Rim RD",34.57394,-111.18902,2189,"hillslope",NA,-999869599,"8/3/2012","Kyle Paffett and Vera Markgraf","Stevens et al. Level 2",3,586,6,1.71429,2.70833
"69",1001,"Jacks Canyon Unnamed","Coconino NF, Mogollon Rim RD",34.74824,-111.05954,1908,"hillslope","limnocrene",-242405874,"8/3/2012","Kyle Paffett and Vera Markgraf","Stevens et al. Level 2",5,587,1,1.71429,2.21429
"70",899,"Bear Seep Tank","Coconino NF, Mormon Lake RD",34.94475,-111.53757,2276,"hillslope","limnocrene",-1930544404,"6/22/2012","Kyle Paffett, Vera Markgraf, and Jen Williams","Stevens et al. Level 2",6,589,1,2.71429,3.85
"71",1077,"Roundup Park Spring","Coconino NF, Mogollon Rim RD",34.82363,-111.48742,2249,"hillslope","helocrene",-305110147,"6/21/2012","Kyle Paffett, Vera Markgraf, and Quintin Van Dyke","Stevens et al. Level 2",3,590,4,3.14286,1.55
"72",1075,"Rock Top Spring","Coconino NF, Mormon Lake RD",34.85246,-111.548,2130,"hillslope","helocrene",893635322,"6/21/2012","Kyle Paffett, Vera Markgraf, and Quintin Van Dyke","Stevens et al. Level 2",5,591,6,2.14286,3.71875
"73",1065,"Quinamptewa Spring","Coconino NF, Mogollon Rim RD",34.71461,-111.44237,2144,"helocrene","hillslope",2050511288,"6/20/2012","Kyle Paffett andTom Bean","Stevens et al. Level 2",5,593,6,1.85714,3.48333
"74",773,"West Elk Spring","Kaibab NF, Williams RD",35.37962,-111.98908,2182,"anthropogenic","hillslope",-1935567057,"6/6/2012","Kyle Paffett, Tom Bean, and Susan Bean","Stevens et al. Level 2",3,597,1,1.85714,2.35833
"75",945,"Curley Seep","Coconino NF, Peaks RD",35.44218,-111.76352,2318,"hillslope","rheocrene",117165380,"6/10/2012","Kyle Paffett and Quintin Van Dyke","Stevens et al. Level 2",3,598,5,2.85714,1.99792
"76",743,"Lost Spring","Kaibab NF, Williams RD",35.47141,-111.88183,2198,"hillslope","helocrene",1907240181,"6/10/2012","Kyle Paffett and Quintin Van Dyke","Stevens et al. Level 2",2,599,0,2.71429,1.075
"77",1039,"Mint Lower West","Coconino NF, Mormon Lake RD",34.86501,-111.41275,2329,"hillslope",NA,-1404959470,"6/11/2012","Kyle Paffett, Tom Bean, and Susan Bean","Stevens et al. Level 2",5,600,6,2,3.14583
"78",742,"Triangle Spring","Kaibab NF, Williams RD",35.17196,-111.95661,2059,"helocrene",NA,44634155,"6/4/2012","Kyle Paffett, Vera Markgraf, and Jen Williams","Stevens et al. Level 2",3,601,1,2.7,1.8
"79",746,"Dow Spring","Kaibab NF, Williams RD",35.15499,-111.98573,2058,"hillslope","rheocrene",-805406320,"6/4/2012","Kyle Paffett, Vera Markgraf, Jen Williams","Stevens et al. Level 2",5,602,6,1.71429,4.52917
"80",755,"Ross Spring","Kaibab NF, Williams RD",35.20441,-112.01934,2081,"helocrene","rheocrene",-990724527,"6/4/2012","Kyle Paffett, Vera Markgraf, and Jen Williams","Stevens et al. Level 2",3,603,0,1.42857,2.275
"81",748,"Garland Spring","Kaibab NF, Williams RD",35.18803,-111.99789,2052,"hillslope","helocrene",1961376318,"6/4/2012","Kyle Paffett, Vera Markgraf, and Jen Williams","Stevens et al. Level 2",3,604,0,1.57143,2.31875
"82",764,"Hat Tank upper","Kaibab NF, Williams RD",35.0955,-112.1707,2065,"rheocrene","hillslope",178647271,"6/3/2012","Kyle Paffett, Vera Markgraf","Stevens et al. Level 2",5,605,6,1.42857,4.03125
"83",980,"Gooseberry Springs","Coconino NF, Mogollon Rim RD",34.815,-111.40207,2399,"helocrene",NA,176976185,"6/12/2012","Kyle Paffett and Vera Markgraf","Stevens et al. Level 2",5,758,2,2.14286,3.20625
"84",782,"Sawmill Spring","Kaibab NF, Williams RD",35.28865,-111.95994,2219,"hillslope","anthropogenic",-106357498,"6/6/2012","Kyle Paffett, Tom Bean, and Susan Bean","Stevens et al. Level 2",4,759,1,1.42857,3.39375
"85",729,"Mud Springs","Kaibab NF, Williams RD",35.11495,-112.1868,2115,"helocrene","anthropogenic",1984790031,"6/9/2012","Kyle Paffett and Susan Eisenberg","Stevens et al. Level 2",5,760,1,2.14286,2.8875
"86",998,"Hoxworth Springs South","Coconino NF, Mormon Lake RD",35.03894,-111.57649,2144,"rheocrene",NA,-899944747,"8/12/2012","Kyle Paffett, Vera Markgraf, and Quintin Van Dyke","Stevens et al. Level 2",5,762,6,2.28571,4.16458
"87",1004,"Jones Springs","Coconino NF, Mogollon Rim RD",34.76321,-111.49854,2153,"hillslope","helocrene",1996249458,"6/19/2012","Kyle Paffett and Jen Williams","Stevens et al. Level 2",6,763,5,2.42857,4.26458
"88",1076,"Rocky Spring","Coconino NF, Mogollon Rim RD",34.40636,-111.1524,2347,"rheocrene",NA,1161307403,"8/11/2012","Kyle Paffett and Gerald Higa","Stevens et al. Level 2",4,764,6,2.28571,3
"89",949,"Deer Seep Tank","Coconino NF, Mogollon Rim RD",34.82549,-111.37971,2277,"limnocrene",NA,-404331280,"6/12/2012","Kyle Paffett and Vera Markgraf","Stevens et al. Level 2",5,765,2,2.28571,3.65208
"90",1113,"T-Six Spring","Coconino NF, Mormon Lake RD",34.90741,-111.59618,2092,"helocrene","hillslope",1311727153,"6/22/2012","Kyle Paffett, Jen Williams, and Vera Markgraf","Stevens et al. Level 2",4,766,4,2.85714,4.1
"91",1036,"Middle Kehl Meadow Spring","Coconino NF, Mogollon Rim RD",34.44493,-111.31868,2311,"helocrene","rheocrene",-1540123490,"8/9/2012","Kyle Paffett and Vera Markgraf","Stevens et al. Level 2",6,767,6,2.71429,4.22083
"92",956,"Dove Spring","Coconino NF, Mogollon Rim RD",34.87316,-111.37323,2229,"hillslope","helocrene",-971566137,"6/11/2012","Kyle Paffett, Tom Bean, and Susan Bean","Stevens et al. Level 2",5,768,5,3,3.3125
"93",1055,"Paterson Spring","Coconino NF, Peaks RD",35.15664,-111.80714,2222,"hillslope",NA,-594328580,"8/4/2012","Kyle Paffett, Vera Markgraf, and Quintin Van Dyke","Stevens et al. Level 2",2,769,4,2.71429,1.72083
"94",1025,"Middle Leonard Canyon Spring #2","Coconino NF, Mogollon Rim RD",34.399,-111.14624,2403,"anthropogenic","limnocrene",1422015114,"8/11/2012","Kyle Paffett and Vera Markgraf","Stevens et al. Level 2",5,770,3,3,2.975
"95",426,"Bone Dry Springs","Coconino NF, Mogollon Rim RD",34.48296,-111.28056,2195,"hillslope","hypocrene",-683915709,"8/10/2012","Kyle Paffett, Vera Markgraf, Abe Springer, and Gerald Higa","Stevens et al. Level 2",3,771,6,2.57143,2.43125
"96",989,"Homestead Spring","Coconino NF, Mogollon Rim RD",34.47081,-111.28548,2212,"hillslope","rheocrene",2121829320,"8/10/2012","Kyle Paffett, Abe Springer, Vera Markgraf, and Gerald Higa","Stevens et al. Level 2",3,772,5,2.14286,3.34583
"97",549,"Drier Spring","Coconino NF, Mogollon Rim RD",34.48347,-111.2743,2206,"rheocrene","hillslope",-1832500695,"8/10/2012","Kyle Paffett, Vera Markgraf, Abe Springer, and Gerald Higa","Stevens et al. Level 2",3,773,6,2.57143,1.1
"98",1082,"Schneider Spring","Coconino NF, Mogollon Rim RD",34.48633,-111.13026,2231,"hillslope",NA,1770682166,"8/11/2012","Kyle Paffett Vera Markgraf, and Gerald Higa","Stevens et al. Level 2",3,774,4,2.71429,2.56458
"99",596,"Patton Spring","Coconino NF, Mogollon Rim RD",34.44723,-111.36541,2293,"rheocrene","helocrene",871463039,"8/9/2012","Kyle Paffett and Gerald Higa","Stevens et al. Level 2",3,775,6,2.28571,1.9125
"100",1032,"McFarland Spring","Coconino NF, Mogollon Rim RD",34.47702,-111.19601,2235,"hillslope","rheocrene",-126597036,"8/8/2012","Kyle Paffett and Vera Markgraf","Stevens et al. Level 2",5,776,6,2,4.26875
"101",993,"Houston Draw Spring","Coconino NF, Mogollon Rim RD",34.46801,-111.19666,2264,"hillslope","helocrene",-1771295035,"8/8/2012","Kyle Paffett, Vera Markgraf, and Gerald Higa","Stevens et al. Level 2",5,777,6,2,4.21875
"102",713,"Wildcat Spring","Coconino NF, Mogollon Rim RD",34.46065,-111.4067,2192,"hillslope",NA,1366648089,"8/7/2012","Kyle Paffett and Gerald Higa","Stevens et al. Level 2",2,780,1,2.28571,0.7
"103",1100,"Sycamore Canyon middle north Unnamed","Coconino NF, Red Rock RD",34.46318,-111.71458,1132,"rheocrene",NA,-1307372305,"8/6/2012","Kyle Paffett and Gerald Higa","Stevens et al. Level 2",5,782,6,2.71429,3.54375
"104",940,"Cottonwood Basin Unnamed","Coconino NF, Red Rock RD",34.47866,-111.76912,938,"rheocrene",NA,1122592772,"8/5/2012","Kyle Paffett, Gerald Higa, and Vera Markgraf","Stevens et al. Level 2",6,783,6,1.42857,4.15833
"105",775,"Kaufman Spring","Kaibab NF, Williams RD",35.30588,-111.98786,2229,"hillslope",NA,1186733522,"6/2/2012","Kyle Paffett, Vera Markgraf","Stevens et al. Level 2",3,785,6,2,1.95625
"106",770,"Spitz Spring Lower","Kaibab NF, Williams RD",35.26033,-111.9751,2136,"helocrene","anthropogenic",1281092075,"6/2/2012","Kyle Paffett and Vera Markgraf","Stevens et al. Level 2",5,786,3,2.14286,3.33542
"107",771,"Spitz Spring upper","Kaibab NF, Williams RD",35.26135,-111.97436,2130,"anthropogenic",NA,605110352,"6/2/2012","Kyle Paffett and Vera Markgraf","Stevens et al. Level 2",5,787,3,2.14286,3.33542
"108",781,"Stewart Spring","Kaibab NF, Williams RD",35.10677,-112.15804,2129,"hillslope","rheocrene",1523592721,"6/3/2012","Kyle Paffett, Vera Markgraf, Monica Swihart","Stevens et al. Level 2",5,788,6,1.28571,5.14375
"109",330,"Crane Lake","Kaibab NF, North Kaibab RD",36.52992,-112.14908,2605,"limnocrene",NA,550526073,"6/16/2012","Kyle Paffett","Stevens et al. Level 2",6,802,6,2.71429,3.6
